asin,Title,rate1,rate2,rate3,rate4,rate5,rating,totalreviews
B00OZTSY6Y,"Motorola DROID Turbo XT1254, Black Ballistic Nylon 32GB (Verizon Wireless)",98,26,41,80,293,3.6,545
B00PLBFPAS,"Nokia Lumia 630 Windows Prepaid SmartPhone, Carrier Locked to Cricket Wireless, No Contract",3,1,1,3,6,3.3,14
B00QFZOYFG,Samsung Solstice II A817 Touch Screen (AT&T) No Contract,1,0,1,1,1,3.3,4
B00QHJTOK0,Samsung Galaxy Centura SCH-S738C - (Net10),1,0,0,0,0,1,1
B00SIB3HS0,Samsung Galaxy S4 M919 16GB Unlocked GSM 4G LTE Quad-Core Smartphone - White Frost,12,3,5,2,8,2.6,32
B00TFAVFL4,"Motorola Moto E (2nd Generation) Locked Cellphone, Black",0,1,0,2,7,3.8,1
B00TRLXO6U,Nokia Lumia 928 32GB Unlocked GSM 4G LTE Windows Smartphone w/ 8MP Carl Zeiss Optics Camera - Black,18,7,8,20,59,3.8,112
B00V7FXCZ2,"Samsung Galaxy S6, Black Sapphire 32GB (Verizon Wireless)",6,1,1,2,0,3.5,1
B00V7FY44A,"Samsung Galaxy S6 Edge, White Pearl 32GB (Verizon Wireless)",97,38,34,50,278,3.5,505
B00V8STWY8,"Apple iPad Air MF529LL/A (32GB, Wi-Fi + at&T, White with Silver) (Renewed)",2,2,1,0,1,2.7,6
B00VH2TWBS,Samsung GALAXY S6 G920 32GB Unlocked GSM 4G LTE Octa-Core Smartphone - Black Sapphire,89,21,13,20,94,3.1,243
B00VQQ294C,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed),17,4,5,5,24,2.8,60
B00WF988BW,Samsung Convoy 3 SCH-U680 Rugged 3G Cell Phone Verizon Wireless,46,19,18,34,139,3.7,264
B00WHE2WCG,Samsung Galaxy S6 G920A 32GB Unlocked GSM 4G LTE Octa-Core Android Smartphone with 16MP Camera - Black Sapphire,126,20,28,30,127,2.9,338
B00WIYFBWI,Samsung Galaxy S6 Edge G925F 32GB Unlocked Phone - Retail Packaging - Black Sapphire,2,0,0,0,5,2.3,7
B00X2ZQ5RM,Samsung Galaxy S6 32GB G920A AT&T Unlocked - Gold Platinum,45,13,6,10,56,2.8,134
B00XQVDW6Y,Motorola Moto E LTE - No Contract Phone (U.S. Cellular),7,5,9,10,33,3.7,64
B00ZE8HRYK,"Samsung Galaxy S6 Active, 32 GB , Grey (AT&T)",86,28,17,29,152,3.7,325
B010CK8O9Q,"Sony Xperia Z3 Plus E6533 32GB Black 3G/4G, Dual SIM Unlocked Factory 4G LTE - International Version No Warranty",1,0,0,0,3,3.1,4
B010V43VFA,Sony Experia Z3+ 4G LTE Unlocked 32GB Octa Core 3GB RAM E6553 (LTE USA Latin Caribbean Europe) Waterproof 23 MP No Warranty (White),9,1,4,6,18,3,41
B011AC4U7A,Samsung Galaxy S6 G920T 32GB Unlocked GSM 4G LTE Octa-Core Android Smartphone w/ 16MP Camera - Black,43,9,7,16,63,3.3,142
B0134TVNSQ,"Samsung Galaxy S6 Edge+, Black 64GB (Sprint)",17,9,6,24,100,3.9,162
B013XAPUW6,"Samsung Galaxy Note 5, Black  64GB (Verizon Wireless)",169,58,48,92,406,3.6,799
B014GCG150,"Samsung Galaxy J5 SM-J500H/DS GSM Factory Unlocked Smartphone, International Version (Gold)",74,26,44,98,394,4.1,645
B014V5XDV2,Samsung Galaxy S6 G920v 32GB Verizon Wireless CDMA Smartphone - Gold Platinum (Renewed),24,7,9,16,29,3.2,90
B014VLTTC8,Samsung Galaxy Mega 6.3 I527 16GB Unlocked GSM 4G LTE Smartphone w/ 8MP Camera - White,10,1,2,2,16,2.8,32
B015ROR4PC,Motorola Droid Turbo - 32GB Android Smartphone - Verizon - Gray (Renewed),4,2,1,8,21,3.5,36
B016WYTYFE,Samsung Galaxy S5 SM-G900T - 16GB - Shimmery White Smart Phone - Unlocked (Renewed),4,0,1,1,4,3.4,2
B0172EEAQQ,"Nokia 105 RM-1135 Dual-Band (850/1900 MHz) Factory Unlocked Mobile Phone, Black, 2G Network Only.",59,3,6,9,46,2.9,127
B018OMP8ES,Samsung Galaxy Note 5 SM-N920V Gold 32GB (Verizon Wireless),169,58,48,92,406,3.6,799
B018TUJE9U,Samsung Galaxy S6 G920A 64GB Unlocked GSM 4G LTE Octa-Core Android Smartphone w/ 16MP Camera - White,4,1,0,3,6,3.3,14
B0192XJ0P6,"Motorola XT1585 Turbo 2, (32GB) 5.4' (White, Verizon)",110,33,31,22,91,2.8,289
B019S654DO,Samsung Galaxy S4 16GB Black SPH-L720T Tri-Band (Boost Mobile),18,9,12,26,72,3.7,138
B019TWO7DU,"Huawei Nexus 6P unlocked smartphone, 64GB Gold (US Warranty)",8,1,0,0,1,3.3,2
B019VHBB32,Motorola Droid Turbo 2 XT1585 32GB - Verizon (Black),15,6,3,3,31,3.3,58
B01ATTBXY8,Motorola Droid Turbo - 32GB Android Smartphone - Verizon - Black (Renewed),47,15,11,28,99,3.8,209
B01AUOS8BI,"Apple iPhone 6S Plus, 128GB, Rose Gold - For AT&T / T-Mobile (Renewed)",3,1,0,0,1,2.5,7
B01BG1MW5C,Samsung Galaxy Note 5 SM-N920T 32GB Black Smartphone for T-Mobile,24,6,4,13,43,3.5,91
B01BHEBDVW,Motorola Droid Maxx 2 XT1565 16 GB Verizon Phone w/ 21 MP Rear Camera - White,8,3,1,3,10,3.1,26
B01BLSX96G,Samsung Galaxy Grand Prime Prepaid Smartphone Family Mobile Powered by T-Mobile,2,1,1,1,4,3.3,9
B01CJ3SCJ6,Samsung Galaxy S7 32GB Unlocked (Verizon Wireless) - Gold,74,18,19,19,112,3.2,250
B01CJ3SCN2,"Samsung Galaxy S7, Black 32GB (Verizon Wireless)",48,13,17,24,107,3.6,220
B01CJ3SF02,"Samsung Galaxy GS7 Edge, Gold 32GB (Verizon Wireless)",5,1,2,3,24,3.8,37
B01CN1RZY2,Samsung Galaxy Note 5 SM-N920T 64gb - Unlocked Cellphone GSM - Platinum Gold (T - Mobile),14,1,2,1,15,2.7,34
